# Source File: event_5672563_fa2a52e3-2d82-455d-8ff3-dbdb28f453da.gsdata
# Data Type:   GS Data
# Record Count: 2100
# Format: dateTime (epoch ms), dateTime (UTC ISO), x, y, z
dateTime,dateTimeISO,x,y,z
1787485581010,2026-08-23T11:46:21.010Z,25,41,1033
1787485581020,2026-08-23T11:46:21.020Z,109,90,1130
1787485581030,2026-08-23T11:46:21.030Z,17,108,1096
1787485581040,2026-08-23T11:46:21.040Z,-27,54,1019
1787485581050,2026-08-23T11:46:21.050Z,4,5,983
1787485581060,2026-08-23T11:46:21.060Z,45,-83,938
1787485581070,2026-08-23T11:46:21.070Z,76,-112,923
1787485581080,2026-08-23T11:46:21.080Z,133,-97,911
1787485581090,2026-08-23T11:46:21.090Z,26,-83,961
1787485581100,2026-08-23T11:46:21.100Z,149,-53,1116
1787485581110,2026-08-23T11:46:21.110Z,55,-3,1033
1787485581120,2026-08-23T11:46:21.120Z,3,25,914
1787485581130,2026-08-23T11:46:21.130Z,-25,43,839
1787485581140,2026-08-23T11:46:21.140Z,2,7,872
1787485581150,2026-08-23T11:46:21.150Z,-1,3,912
1787485581160,2026-08-23T11:46:21.160Z,45,-88,938
1787485581170,2026-08-23T11:46:21.170Z,114,-100,1033
1787485581180,2026-08-23T11:46:21.180Z,120,-121,1002
1787485581190,2026-08-23T11:46:21.190Z,-13,-75,830
1787485581200,2026-08-23T11:46:21.200Z,13,-23,841
1787485581210,2026-08-23T11:46:21.210Z,111,35,890
1787485581220,2026-08-23T11:46:21.220Z,13,70,881
1787485581230,2026-08-23T11:46:21.230Z,267,41,1074
1787485581240,2026-08-23T11:46:21.240Z,125,-14,985
1787485581250,2026-08-23T11:46:21.250Z,47,-130,903
1787485581260,2026-08-23T11:46:21.260Z,47,-130,903
1787485581270,2026-08-23T11:46:21.270Z,-53,-114,833
1787485581280,2026-08-23T11:46:21.280Z,-59,-116,865
1787485581290,2026-08-23T11:46:21.290Z,35,-88,949
1787485581300,2026-08-23T11:46:21.300Z,-78,-18,983
1787485581310,2026-08-23T11:46:21.310Z,134,31,1217
1787485581320,2026-08-23T11:46:21.320Z,24,-10,1089
1787485581330,2026-08-23T11:46:21.330Z,102,-64,1057
1787485581340,2026-08-23T11:46:21.340Z,56,-81,1028
1787485581350,2026-08-23T11:46:21.350Z,122,-55,984
1787485581360,2026-08-23T11:46:21.360Z,73,-45,953
1787485581370,2026-08-23T11:46:21.370Z,128,-42,1011
1787485581380,2026-08-23T11:46:21.380Z,29,-41,1044
1787485581390,2026-08-23T11:46:21.390Z,171,14,1237
1787485581400,2026-08-23T11:46:21.400Z,40,-18,1197
1787485581410,2026-08-23T11:46:21.410Z,143,-44,1166
1787485581420,2026-08-23T11:46:21.420Z,22,-18,1008
1787485581430,2026-08-23T11:46:21.430Z,25,37,853
1787485581440,2026-08-23T11:46:21.440Z,62,29,901
1787485581450,2026-08-23T11:46:21.450Z,99,-19,968
1787485581460,2026-08-23T11:46:21.460Z,10,-59,1083
1787485581470,2026-08-23T11:46:21.470Z,173,-55,1226
1787485581480,2026-08-23T11:46:21.480Z,124,-81,1160
1787485581490,2026-08-23T11:46:21.490Z,158,-79,1059
1787485581500,2026-08-23T11:46:21.500Z,-3,-43,862
1787485581510,2026-08-23T11:46:21.510Z,-21,63,932
1787485581520,2026-08-23T11:46:21.520Z,75,79,1024
1787485581530,2026-08-23T11:46:21.530Z,14,39,1094
1787485581540,2026-08-23T11:46:21.540Z,73,31,1236
1787485581550,2026-08-23T11:46:21.550Z,44,-48,1049
1787485581560,2026-08-23T11:46:21.560Z,-40,-61,919
