# Source File: event_3813702_da880469-2471-45c2-ae44-d1251e636076.gsdata
# Data Type:   GS Data
# Record Count: 2100
# Format: dateTime (epoch ms), dateTime (UTC ISO), x, y, z
dateTime,dateTimeISO,x,y,z
1785331292010,2026-07-29T13:21:32.010Z,123,-49,1016
1785331292020,2026-07-29T13:21:32.020Z,-31,29,942
1785331292030,2026-07-29T13:21:32.030Z,240,76,995
1785331292040,2026-07-29T13:21:32.040Z,-219,4,739
1785331292050,2026-07-29T13:21:32.050Z,-170,-19,894
1785331292060,2026-07-29T13:21:32.060Z,-266,16,920
1785331292070,2026-07-29T13:21:32.070Z,-266,16,920
1785331292080,2026-07-29T13:21:32.080Z,140,-21,1164
1785331292090,2026-07-29T13:21:32.090Z,-109,-18,939
1785331292100,2026-07-29T13:21:32.100Z,-52,-42,877
1785331292110,2026-07-29T13:21:32.110Z,153,-16,956
1785331292120,2026-07-29T13:21:32.120Z,32,-27,839
1785331292130,2026-07-29T13:21:32.130Z,-7,-44,847
1785331292140,2026-07-29T13:21:32.140Z,-108,-54,869
1785331292150,2026-07-29T13:21:32.150Z,120,-11,1070
1785331292160,2026-07-29T13:21:32.160Z,143,-13,1065
1785331292170,2026-07-29T13:21:32.170Z,27,15,984
1785331292180,2026-07-29T13:21:32.180Z,113,8,942
1785331292190,2026-07-29T13:21:32.190Z,130,16,921
1785331292200,2026-07-29T13:21:32.200Z,-11,12,968
1785331292210,2026-07-29T13:21:32.210Z,32,32,842
1785331292220,2026-07-29T13:21:32.220Z,-34,50,906
1785331292230,2026-07-29T13:21:32.230Z,-98,56,1050
1785331292240,2026-07-29T13:21:32.240Z,74,32,1096
1785331292250,2026-07-29T13:21:32.250Z,80,-58,915
1785331292260,2026-07-29T13:21:32.260Z,197,-59,780
1785331292270,2026-07-29T13:21:32.270Z,197,-59,780
1785331292280,2026-07-29T13:21:32.280Z,109,-44,877
1785331292290,2026-07-29T13:21:32.290Z,-46,70,1049
1785331292300,2026-07-29T13:21:32.300Z,-36,63,1173
1785331292310,2026-07-29T13:21:32.310Z,40,104,1206
1785331292320,2026-07-29T13:21:32.320Z,-7,78,992
1785331292330,2026-07-29T13:21:32.330Z,-9,16,892
1785331292340,2026-07-29T13:21:32.340Z,3,30,928
1785331292350,2026-07-29T13:21:32.350Z,-74,-60,935
1785331292360,2026-07-29T13:21:32.360Z,52,-125,1119
1785331292370,2026-07-29T13:21:32.370Z,-4,-122,966
1785331292380,2026-07-29T13:21:32.380Z,-34,-61,983
1785331292390,2026-07-29T13:21:32.390Z,82,28,1077
1785331292400,2026-07-29T13:21:32.400Z,-7,130,952
1785331292410,2026-07-29T13:21:32.410Z,46,173,956
1785331292420,2026-07-29T13:21:32.420Z,14,129,934
1785331292430,2026-07-29T13:21:32.430Z,-47,44,845
1785331292440,2026-07-29T13:21:32.440Z,39,-36,930
1785331292450,2026-07-29T13:21:32.450Z,-57,-110,922
1785331292460,2026-07-29T13:21:32.460Z,-183,-115,932
1785331292470,2026-07-29T13:21:32.470Z,-4,-100,924
1785331292480,2026-07-29T13:21:32.480Z,1,-50,920
1785331292490,2026-07-29T13:21:32.490Z,146,39,1003
1785331292500,2026-07-29T13:21:32.500Z,37,68,808
1785331292510,2026-07-29T13:21:32.510Z,259,37,806
1785331292520,2026-07-29T13:21:32.520Z,-68,8,736
1785331292530,2026-07-29T13:21:32.530Z,109,-39,812
1785331292540,2026-07-29T13:21:32.540Z,63,-101,984
1785331292550,2026-07-29T13:21:32.550Z,-54,-79,917
1785331292560,2026-07-29T13:21:32.560Z,-84,-74,1014
1785331292570,2026-07-29T13:21:32.570Z,131,-14,1061
1785331292580,2026-07-29T13:21:32.580Z,-75,1,879
1785331292590,2026-07-29T13:21:32.590Z,-75,1,879
1785331292600,2026-07-29T13:21:32.600Z,13,1,898
1785331292610,2026-07-29T13:21:32.610Z,-69,-28,847
1785331292620,2026-07-29T13:21:32.620Z,-113,-80,737
1785331292630,2026-07-29T13:21:32.630Z,78,-79,891
1785331292640,2026-07-29T13:21:32.640Z,14,-72,1027
1785331292650,2026-07-29T13:21:32.650Z,120,-97,1201
1785331292660,2026-07-29T13:21:32.660Z,139,-106,1062
1785331292670,2026-07-29T13:21:32.670Z,139,-106,1062
1785331292680,2026-07-29T13:21:32.680Z,124,-14,1028
1785331292690,2026-07-29T13:21:32.690Z,-158,91,807
1785331292700,2026-07-29T13:21:32.700Z,-102,160,824
1785331292710,2026-07-29T13:21:32.710Z,-116,168,919
1785331292720,2026-07-29T13:21:32.720Z,-25,93,1010
1785331292730,2026-07-29T13:21:32.730Z,-18,-27,1103
1785331292740,2026-07-29T13:21:32.740Z,-72,-193,1002
1785331292750,2026-07-29T13:21:32.750Z,91,-206,1054
1785331292760,2026-07-29T13:21:32.760Z,-31,-161,1039
1785331292770,2026-07-29T13:21:32.770Z,40,-119,1099
